x,y,z
7.019407490692617380e-01,1.119656414012211609e+00,-2.638493694849696425e+00
1.791562081740412760e+00,2.549321057809238456e-01,-3.766373428843846405e+00
-6.210171398597041925e-01,1.766390691603157537e+00,-1.689180234068163866e+00
4.686041928114468291e-01,9.016663833718697729e-01,-2.817059968062314290e+00
-4.733132174748365117e-01,1.913529061705106615e+00,-3.365746070612821939e+00
6.163081151963145654e-01,1.048804753473818963e+00,-4.493625804606971919e+00
-6.036762785434579559e-02,-4.994762490419391021e-02,-1.307794934681486332e+00
1.029253704816805115e+00,-9.146719331354816740e-01,-2.435674668675636312e+00
8.733629453052188518e-02,9.719074519775514065e-02,-2.984360771226144848e+00
1.176957627201672851e+00,-7.675335630335325954e-01,-4.112240505220294828e+00
-1.235621594398443879e+00,7.439250227887009848e-01,-2.035047310444611846e+00
-1.460002617272928571e-01,-1.207992854425867790e-01,-3.162927044438761826e+00
-1.087917672013576142e+00,8.910633928906500634e-01,-3.711613146989270362e+00
1.703660657574879167e-03,2.633908465936229959e-02,-4.839492880983420342e+00
1.443262631137014917e+00,-4.994762490419391021e-02,-1.307794934681486332e+00
2.532883963808165717e+00,-9.146719331354816740e-01,-2.435674668675636312e+00
1.590966553521882654e+00,9.719074519775514065e-02,-2.984360771226144848e+00
2.680587886193033675e+00,-7.675335630335325954e-01,-4.112240505220294828e+00
2.680086645929167233e-01,7.439250227887009848e-01,-2.035047310444611846e+00
1.357629997264067745e+00,-1.207992854425867790e-01,-3.162927044438761826e+00
4.157125869777844041e-01,8.910633928906500634e-01,-3.711613146989270362e+00
1.505333919648935481e+00,2.633908465936229959e-02,-4.839492880983420342e+00
1.136515383904237009e+00,5.924530632185166512e-01,-1.716437668495174318e+00
2.226136716575387808e+00,-2.722712450127711126e-01,-2.844317402489324742e+00
1.284219306289104745e+00,7.395914333204657298e-01,-3.393003505039832390e+00
2.373840638960255767e+00,-1.251328749108220340e-01,-4.520883239033982370e+00
-3.873858263986118544e-02,1.386325710911411546e+00,-2.443690044258299832e+00
1.050882750031289836e+00,5.216014026801237824e-01,-3.571569778252450256e+00
1.089653397450064953e-01,1.533464081013360625e+00,-4.120255880802957904e+00
1.198586672416157572e+00,6.687397727820728610e-01,-5.248135614797107884e+00
2.640145642895597611e+00,5.924530632185166512e-01,-1.716437668495174318e+00
3.729766975566748854e+00,-2.722712450127711126e-01,-2.844317402489324742e+00
2.787849565280465125e+00,7.395914333204657298e-01,-3.393003505039832390e+00
3.877470897951615925e+00,-1.251328749108220340e-01,-4.520883239033982370e+00
1.464891676351499417e+00,1.386325710911411546e+00,-2.443690044258299832e+00
2.554513009022650216e+00,5.216014026801237824e-01,-3.571569778252450256e+00
1.612595598736367153e+00,1.533464081013360625e+00,-4.120255880802957904e+00
2.702216931407518175e+00,6.687397727820728610e-01,-5.248135614797107884e+00
-1.378136400511094539e+00,-2.794791598745017813e-01,-1.348395831318825122e+00
-2.885150678399435176e-01,-1.144203468105789545e+00,-2.476275565312975324e+00
-1.230432478126226803e+00,-1.323407897725527305e-01,-3.024961667863483417e+00
-1.408111454550757813e-01,-9.970650980038404665e-01,-4.152841401857633841e+00
-2.553390367055192733e+00,5.143934878183931136e-01,-2.075648207081950858e+00
-1.463769034384041712e+00,-3.503308204128946501e-01,-3.203527941076100838e+00
-2.405686444670325219e+00,6.615318579203421923e-01,-3.752214043626609374e+00
-1.316065111999174198e+00,-2.031924503109455715e-01,-4.880093777620759354e+00
1.254938584802660628e-01,-2.794791598745017813e-01,-1.348395831318825122e+00
1.215115191151417084e+00,-1.144203468105789545e+00,-2.476275565312975324e+00
2.731977808651337436e-01,-1.323407897725527305e-01,-3.024961667863483417e+00
1.362819113536284821e+00,-9.970650980038404665e-01,-4.152841401857633841e+00
-1.049760108063832131e+00,5.143934878183931136e-01,-2.075648207081950858e+00
3.986122460731889028e-02,-3.503308204128946501e-01,-3.203527941076100838e+00
-9.020561856789643951e-01,6.615318579203421923e-01,-3.752214043626609374e+00
1.875651469921866266e-01,-2.031924503109455715e-01,-4.880093777620759354e+00
-1.812533887525116238e-01,3.629215282482087801e-01,-1.757038565132512886e+00
9.083679439186393978e-01,-5.018027799830789837e-01,-2.884918299126662866e+00
